event method bin count 
ins probcons 1.0 148 
ins probcons 1.1 129 
ins probcons 1.2 66 
ins probcons 1.3 57 
ins probcons 1.4 27 
ins probcons 1.5 16 
ins probcons 1.6 12 
ins probcons 1.7 2 
ins probcons 1.8 3 
ins probcons 1.9 2 
ins probcons 2.0 1 
del probcons 0.0 0 
del probcons 0.10 0 
del probcons 0.20 0 
del probcons 0.30 14 
del probcons 0.40 84 
del probcons 0.50 84 
del probcons 0.60 141 
del probcons 0.70 214 
del probcons 0.80 246 
del probcons 0.90 179 
del probcons 1.0 150 
del probcons 1.1 112 
del probcons 1.2 77 
del probcons 1.3 38 
del probcons 1.4 29 
del probcons 1.5 18 
del probcons 1.6 6 
del probcons 1.7 6 
del probcons 1.8 2 
del probcons 1.9 0 
del probcons 2.0 0 
ins prank 0.0 0 
ins prank 0.10 0 
ins prank 0.20 0 
ins prank 0.30 2 
ins prank 0.40 3 
ins prank 0.50 29 
ins prank 0.60 139 
ins prank 0.70 150 
ins prank 0.80 201 
ins prank 0.90 235 
ins prank 1.0 242 
ins prank 1.1 139 
ins prank 1.2 105 
ins prank 1.3 63 
ins prank 1.4 38 
ins prank 1.5 28 
ins prank 1.6 14 
ins prank 1.7 6 
ins prank 1.8 3 
ins prank 1.9 1 
ins prank 2.0 2 
del prank 0.0 0 
del prank 0.10 0 
del prank 0.20 0 
del prank 0.30 16 
del prank 0.40 67 
del prank 0.50 71 
del prank 0.60 107 
del prank 0.70 161 
del prank 0.80 228 
del prank 0.90 226 
del prank 1.0 157 
del prank 1.1 149 
del prank 1.2 82 
del prank 1.3 58 
del prank 1.4 39 
del prank 1.5 24 
del prank 1.6 4 
del prank 1.7 6 
del prank 1.8 3 
del prank 1.9 1 
del prank 2.0 1 
