event method rate tree multiplier bin count 
del ma 0.056 sym 5 0.40 0 
del ma 0.056 sym 5 0.50 0 
del ma 0.056 sym 5 0.60 0 
del ma 0.056 sym 5 0.70 0 
del ma 0.056 sym 5 0.80 24 
del ma 0.056 sym 5 0.90 53 
del ma 0.056 sym 5 1.0 21 
del ma 0.056 sym 5 1.1 2 
del ma 0.056 sym 5 1.2 0 
del ma 0.056 sym 5 1.3 0 
del ma 0.056 sym 5 1.4 0 
del ma 0.056 sym 5 1.5 0 
del ma 0.056 sym 5 1.6 0 
del ma 0.056 sym 5 1.7 0 
del ma 0.056 sym 5 1.8 0 
del ma 0.056 sym 5 1.9 0 
del ma 0.056 sym 5 2.0 0 
ins ma 0.056 tree 2 0.0 0 
ins ma 0.056 tree 2 0.10 0 
ins ma 0.056 tree 2 0.20 0 
ins ma 0.056 tree 2 0.30 0 
ins ma 0.056 tree 2 0.40 0 
ins ma 0.056 tree 2 0.50 0 
ins ma 0.056 tree 2 0.60 1 
ins ma 0.056 tree 2 0.70 6 
ins ma 0.056 tree 2 0.80 26 
ins ma 0.056 tree 2 0.90 24 
ins ma 0.056 tree 2 1.0 23 
ins ma 0.056 tree 2 1.1 14 
ins ma 0.056 tree 2 1.2 3 
ins ma 0.056 tree 2 1.3 3 
ins ma 0.056 tree 2 1.4 0 
ins ma 0.056 tree 2 1.5 0 
ins ma 0.056 tree 2 1.6 0 
ins ma 0.056 tree 2 1.7 0 
ins ma 0.056 tree 2 1.8 0 
ins ma 0.056 tree 2 1.9 0 
ins ma 0.056 tree 2 2.0 0 
del ma 0.056 tree 2 0.0 0 
del ma 0.056 tree 2 0.10 0 
del ma 0.056 tree 2 0.20 0 
del ma 0.056 tree 2 0.30 0 
del ma 0.056 tree 2 0.40 0 
del ma 0.056 tree 2 0.50 0 
del ma 0.056 tree 2 0.60 1 
del ma 0.056 tree 2 0.70 5 
del ma 0.056 tree 2 0.80 10 
del ma 0.056 tree 2 0.90 35 
del ma 0.056 tree 2 1.0 29 
del ma 0.056 tree 2 1.1 14 
del ma 0.056 tree 2 1.2 5 
del ma 0.056 tree 2 1.3 1 
del ma 0.056 tree 2 1.4 0 
del ma 0.056 tree 2 1.5 0 
del ma 0.056 tree 2 1.6 0 
del ma 0.056 tree 2 1.7 0 
del ma 0.056 tree 2 1.8 0 
del ma 0.056 tree 2 1.9 0 
del ma 0.056 tree 2 2.0 0 
ins ma 0.056 tree 5 0.0 0 
ins ma 0.056 tree 5 0.10 0 
ins ma 0.056 tree 5 0.20 0 
ins ma 0.056 tree 5 0.30 0 
ins ma 0.056 tree 5 0.40 0 
ins ma 0.056 tree 5 0.50 0 
ins ma 0.056 tree 5 0.60 2 
ins ma 0.056 tree 5 0.70 7 
ins ma 0.056 tree 5 0.80 43 
ins ma 0.056 tree 5 0.90 38 
ins ma 0.056 tree 5 1.0 10 
ins ma 0.056 tree 5 1.1 0 
ins ma 0.056 tree 5 1.2 0 
ins ma 0.056 tree 5 1.3 0 
ins ma 0.056 tree 5 1.4 0 
ins ma 0.056 tree 5 1.5 0 
ins ma 0.056 tree 5 1.6 0 
ins ma 0.056 tree 5 1.7 0 
ins ma 0.056 tree 5 1.8 0 
ins ma 0.056 tree 5 1.9 0 
ins ma 0.056 tree 5 2.0 0 
del ma 0.056 tree 5 0.0 0 
del ma 0.056 tree 5 0.10 0 
del ma 0.056 tree 5 0.20 0 
del ma 0.056 tree 5 0.30 0 
del ma 0.056 tree 5 0.40 0 
del ma 0.056 tree 5 0.50 0 
del ma 0.056 tree 5 0.60 0 
del ma 0.056 tree 5 0.70 9 
del ma 0.056 tree 5 0.80 37 
del ma 0.056 tree 5 0.90 40 
del ma 0.056 tree 5 1.0 14 
del ma 0.056 tree 5 1.1 0 
del ma 0.056 tree 5 1.2 0 
del ma 0.056 tree 5 1.3 0 
del ma 0.056 tree 5 1.4 0 
del ma 0.056 tree 5 1.5 0 
del ma 0.056 tree 5 1.6 0 
del ma 0.056 tree 5 1.7 0 
del ma 0.056 tree 5 1.8 0 
del ma 0.056 tree 5 1.9 0 
del ma 0.056 tree 5 2.0 0 
ins ma.tree 0.005 sym 5 0.0 0 
ins ma.tree 0.005 sym 5 0.10 0 
ins ma.tree 0.005 sym 5 0.20 0 
ins ma.tree 0.005 sym 5 0.30 0 
ins ma.tree 0.005 sym 5 0.40 0 
ins ma.tree 0.005 sym 5 0.50 1 
ins ma.tree 0.005 sym 5 0.60 4 
ins ma.tree 0.005 sym 5 0.70 1 
ins ma.tree 0.005 sym 5 0.80 9 
ins ma.tree 0.005 sym 5 0.90 16 
ins ma.tree 0.005 sym 5 1.0 21 
ins ma.tree 0.005 sym 5 1.1 16 
ins ma.tree 0.005 sym 5 1.2 11 
ins ma.tree 0.005 sym 5 1.3 6 
ins ma.tree 0.005 sym 5 1.4 7 
ins ma.tree 0.005 sym 5 1.5 4 
