event method rate tree multiplier bin count
ins histslow 0.028 tree 5 0.8363999999999999 0.971116 1.12689
del histslow 0.028 tree 5 0.8047714285714286 0.962888 1.1345299999999998
ins histslow 0.056 sym 2 0.8276607142857143 0.9533071428571428 1.10601
del histslow 0.056 sym 2 0.7959 0.9349035714285714 1.1130035714285713
ins histslow 0.056 sym 5 0.788909 0.930679 1.086894
del histslow 0.056 sym 5 0.745586 0.911382 1.0943357142857142
ins histslow 0.056 tree 2 0.7893321428571428 0.9242607142857143 1.079057142857143
del histslow 0.056 tree 2 0.7550928571428571 0.9106249999999999 1.0837571428571429
ins histslow 0.056 tree 5 0.7452428571428572 0.9034142857142857 1.0676392857142858
del histslow 0.056 tree 5 0.7208160714285714 0.890814 1.0688285714285715
ins histfit 0.005 sym 5 0.7866700000000001 0.934576 1.123462
del histfit 0.005 sym 5 0.727524 0.977868 1.173688
ins histfit 0.005 tree 5 0.8125840000000001 0.9708100000000001 1.171324
del histfit 0.005 tree 5 0.786442 0.977868 1.196266
ins histfit 0.01 sym 5 0.8167679999999999 0.962574 1.14579
del histfit 0.01 sym 5 0.766914 0.934296 1.1106
ins histfit 0.01 tree 5 0.8198799999999999 0.941438 1.11755
del histfit 0.01 tree 5 0.786442 0.9395239999999999 1.100256
ins histfit 0.028 sym 1 0.811348 0.9380569999999999 1.12999
del histfit 0.028 sym 1 0.7867259999999999 0.960658 1.113828
ins histfit 0.028 sym 2 0.818086 0.941438 1.123462
del histfit 0.028 sym 2 0.7724142857142857 0.951162 1.1124285714285713
ins histfit 0.028 sym 5 0.7955142857142857 0.9169419999999999 1.0975499999999998
del histfit 0.028 sym 5 0.7214392857142857 0.8988821428571427 1.083
ins histfit 0.028 tree 1 0.8041642857142858 0.9312229999999999 1.1055714285714286
del histfit 0.028 tree 1 0.7282535714285714 0.9099964285714286 1.08723
ins histfit 0.028 tree 2 0.8039930000000001 0.9329 1.0975499999999998
del histfit 0.028 tree 2 0.7447285714285714 0.9111239999999999 1.083756
ins histfit 0.028 tree 5 0.7980928571428572 0.9186857142857143 1.0797285714285714
del histfit 0.028 tree 5 0.741262 0.8988821428571427 1.069367857142857
ins histfit 0.056 sym 2 0.7940928571428572 0.9156620000000001 1.0727017857142858
del histfit 0.056 sym 2 0.7375821428571427 0.8901464285714286 1.053116
ins histfit 0.056 sym 5 0.7502964285714285 0.8966910714285714 1.05475
del histfit 0.056 sym 5 0.6946 0.8584285714285713 1.03339
ins histfit 0.056 tree 2 0.7554357142857142 0.8954357142857142 1.04834
del histfit 0.056 tree 2 0.7044499999999999 0.8640464285714285 1.0260535714285715
ins histfit 0.056 tree 5 0.7412357142857143 0.8802625 1.03934
del histfit 0.056 tree 5 0.6941964285714286 0.848985 1.01623
ins histprk 0.005 sym 5 0.9856419999999999 1.136598 1.2806959999999998
